e, e_dot, e_int, stamp, 
-2.3562102600226353, -5.986434941096519e-05, -0.23761544954748307, 1731624613570613469, 
-2.3547153661409097, 0.0049082607822651765, -0.23083659017382027, 1731624613617604345, 
-2.3399003687493822, 0.05436630424417702, -0.227772021690219, 1731624613667526379, 
-2.3071006106134284, 0.15871585175827096, -0.21438861953473773, 1731624613709462659, 
-2.2585351935080737, 0.2712172508043616, -0.25446917140131486, 1731624613778076450, 
-2.1995226834303296, 0.35859309061032923, -0.2299040137725817, 1731624613811413270, 
-2.1301845138175564, 0.4278355989683913, -0.17287278354621777, 1731624613856795222, 
-2.0466013544210377, 0.5097377633643063, -0.22799317383536916, 1731624613918682157, 
-2.0213229495392477, 0.3628718809276954, -0.33062493563897616, 1731624614016823843, 
-1.9379463979529163, 0.36218318822707135, -0.3801312820054285, 1731624614108562010, 
-1.8163472674024406, 0.6832522737893573, -0.3710926123439732, 1731624614209578645, 
-1.6963638254645668, 0.8052752416278319, -0.38157249275017013, 1731624614318576578, 
-1.5825221432704433, 0.779417080439991, -0.3530011673106376, 1731624614417420652, 
-1.473690168739363, 0.7422455224173455, -0.3007884383495242, 1731624614508445249, 
-1.3736291735147128, 0.6963098991857682, -0.3081919203504393, 1731624614626135967, 
-1.2735402155976896, 0.667166510472245, -0.28863901298081457, 1731624614718575448, 
-1.1733406848491337, 0.6676282955519305, -0.24868963386746762, 1731624614821415887, 
-1.0907416928219862, 0.6093284092523447, -0.22398316180219238, 1731624614908519250, 
-1.0192044598939698, 0.5137874165172129, -0.20492441848839354, 1731624615008659124, 
-0.9484943654525106, 0.4741577578982518, -0.21402096110075425, 1731624615118450710, 
-0.8867247506702431, 0.4415990307457555, -0.20148308563832076, 1731624615220417905, 
-0.8280334019153719, 0.40153654512379583, -0.16954917405272038, 1731624615309438053, 
-0.7737533275472748, 0.37657141040989456, -0.15651263430586956, 1731624615409100138, 
-0.7266283183896647, 0.3380169450856907, -0.16298143788017858, 1731624615519428241, 
-0.683560053144534, 0.30064424800913575, -0.15240140009111297, 1731624615618448309, 
-0.6412120943135409, 0.2847207469204127, -0.1293297279633858, 1731624615708562050, 
-0.598877943792, 0.2822736978417802, -0.12241879112164562, 1731624615809364721, 
-0.5599322299235943, 0.270932881299822, -0.1259374113684737, 1731624615918455139, 
-0.526921495628975, 0.23985482721008347, -0.11803453758820666, 1731624616019424020, 
-0.49727889871380215, 0.2088444373659737, -0.10084109455591823, 1731624616109426071, 
-0.4682661022526755, 0.19551797792099812, -0.09446368291654637, 1731624616209305032, 
-0.44084391180533045, 0.18811662302823903, -0.09798391250652912, 1731624616318437771, 
-0.4135778111760491, 0.18229430358875476, -0.09263259007731171, 1731624616419405832, 
-0.3860378001286793, 0.18268703892217056, -0.0785661905076405, 1731624616508446850, 
-0.3618098652637953, 0.17255981970751252, -0.07323736320807986, 1731624616608580337, 
-0.3418983223140639, 0.14713159271538453, -0.07628774415161538, 1731624616718462060, 
-0.3234134100933135, 0.12798818390160616, -0.07187608669114012, 1731624616818514838, 
-0.3048187682694077, 0.12359851348218746, -0.061446798275680004, 1731624616908478140, 
-0.28630556434177246, 0.12369281917180341, -0.05794299269865278, 1731624617008587888, 
-0.26698133682929726, 0.12612477146703474, -0.06005613737030945, 1731624617118438776, 
-0.24809172105555888, 0.12737947762071192, -0.056312284633568195, 1731624617219395675, 
-0.23359856579193838, 0.11127590345786291, -0.04766429995662896, 1731624617309434261, 
-0.21851039963866903, 0.09860440472296617, -0.04889746650693353, 1731624617428896183, 
-0.20053977480273533, 0.1101959699640102, -0.045473830273886476, 1731624617518461694, 
-0.18550971468303912, 0.11000228318543304, -0.038391316259078774, 1731624617619404933, 
-0.17356167308534332, 0.08992700572464003, -0.03564313563475545, 1731624617709539739, 
-0.16074049283287906, 0.08256407283386687, -0.03287132968539057, 1731624617809115851, 
-0.1497336976566408, 0.07942658476234173, -0.033708631215040155, 1731624617918462055, 
-0.14119003282854736, 0.06516820001443897, -0.031657928748681306, 1731624618019391054, 
-0.13085291118963926, 0.0629359548900051, -0.02685162609063544, 1731624618109451480, 
-0.12075944943314809, 0.0681019446513309, -0.024760801920136764, 1731624618208499896, 
-0.11314796093283608, 0.05901650085601062, -0.02541343643516251, 1731624618318466290, 
-0.10748694780542367, 0.04424167209241473, -0.02399946394789505, 1731624618419394980, 
